{'GVBG': 1, 'GVBD': 0, 'CDAN': False, 'use_gpu': True, 'gpu': '0', 'test_person': 15, 'num_iterations': 10000, 'print_num': 10, 'shuffle': True, 'test_interval': 100, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'san', 'batch_size': 64, 'out_file': <_io.TextIOWrapper name='san\\log.txt' mode='w' encoding='cp936'>, 'prep': {'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_params': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'network': {'params': {'class_num': 3}}}iter: 00000, transferloss: 0.69553, classifier_loss: 1.10301, mean entropy:0.33347, gvbg:0.04231, gvbd:0.08655
iter: 01140, transferloss: 0.68601, classifier_loss: 0.31839, mean entropy:0.78647, gvbg:0.00901, gvbd:0.07615
iter: 01150, transferloss: 0.68603, classifier_loss: 0.27595, mean entropy:0.81180, gvbg:0.00989, gvbd:0.06492
iter: 01160, transferloss: 0.66903, classifier_loss: 0.21058, mean entropy:0.80529, gvbg:0.00708, gvbd:0.07016
iter: 01170, transferloss: 0.68344, classifier_loss: 0.22156, mean entropy:0.84019, gvbg:0.00784, gvbd:0.07469
iter: 01180, transferloss: 0.67241, classifier_loss: 0.31397, mean entropy:0.81874, gvbg:0.01098, gvbd:0.07105
iter: 01190, transferloss: 0.67332, classifier_loss: 0.40130, mean entropy:0.78810, gvbg:0.00693, gvbd:0.06795
iter: 01200, transferloss: 0.67875, classifier_loss: 0.24252, mean entropy:0.78593, gvbg:0.00669, gvbd:0.06790
iter: 01210, transferloss: 0.68615, classifier_loss: 0.20654, mean entropy:0.82705, gvbg:0.00793, gvbd:0.07562
iter: 01220, transferloss: 0.69269, classifier_loss: 0.21976, mean entropy:0.82560, gvbg:0.01384, gvbd:0.07073
iter: 01230, transferloss: 0.66892, classifier_loss: 0.29768, mean entropy:0.81624, gvbg:0.01104, gvbd:0.06726
iter: 01240, transferloss: 0.69077, classifier_loss: 0.18888, mean entropy:0.83542, gvbg:0.00740, gvbd:0.06809
iter: 01250, transferloss: 0.66291, classifier_loss: 0.22158, mean entropy:0.82728, gvbg:0.00725, gvbd:0.07372
iter: 01260, transferloss: 0.64981, classifier_loss: 0.35131, mean entropy:0.81010, gvbg:0.00698, gvbd:0.07275
iter: 01270, transferloss: 0.68521, classifier_loss: 0.19620, mean entropy:0.83303, gvbg:0.00800, gvbd:0.07631
iter: 01280, transferloss: 0.67831, classifier_loss: 0.14831, mean entropy:0.85180, gvbg:0.00742, gvbd:0.07711
iter: 01290, transferloss: 0.67731, classifier_loss: 0.14876, mean entropy:0.84790, gvbg:0.00661, gvbd:0.06951
iter: 01300, transferloss: 0.67653, classifier_loss: 0.21449, mean entropy:0.82656, gvbg:0.00941, gvbd:0.07386
iter: 01310, transferloss: 0.67570, classifier_loss: 0.17030, mean entropy:0.84345, gvbg:0.00619, gvbd:0.07411
iter: 01320, transferloss: 0.66106, classifier_loss: 0.20726, mean entropy:0.84543, gvbg:0.00835, gvbd:0.07805
iter: 01330, transferloss: 0.67983, classifier_loss: 0.21689, mean entropy:0.85398, gvbg:0.00757, gvbd:0.07229
iter: 01340, transferloss: 0.67589, classifier_loss: 0.26225, mean entropy:0.82575, gvbg:0.00640, gvbd:0.07016
iter: 01350, transferloss: 0.67781, classifier_loss: 0.14326, mean entropy:0.84648, gvbg:0.01056, gvbd:0.08371
iter: 01360, transferloss: 0.69098, classifier_loss: 0.22798, mean entropy:0.84634, gvbg:0.00815, gvbd:0.07969
iter: 01370, transferloss: 0.66225, classifier_loss: 0.24429, mean entropy:0.82847, gvbg:0.00683, gvbd:0.08338
iter: 01380, transferloss: 0.66190, classifier_loss: 0.17964, mean entropy:0.84576, gvbg:0.00754, gvbd:0.07552
iter: 01390, transferloss: 0.68209, classifier_loss: 0.17393, mean entropy:0.88390, gvbg:0.00665, gvbd:0.07445
iter: 01400, transferloss: 0.68291, classifier_loss: 0.13492, mean entropy:0.85085, gvbg:0.00802, gvbd:0.07749
iter: 01410, transferloss: 0.67472, classifier_loss: 0.12314, mean entropy:0.88335, gvbg:0.00875, gvbd:0.07331
iter: 01420, transferloss: 0.68214, classifier_loss: 0.17147, mean entropy:0.86173, gvbg:0.00693, gvbd:0.07626
iter: 01430, transferloss: 0.66287, classifier_loss: 0.17991, mean entropy:0.84373, gvbg:0.00547, gvbd:0.08461
iter: 01440, transferloss: 0.68726, classifier_loss: 0.18467, mean entropy:0.86910, gvbg:0.00786, gvbd:0.06965
iter: 01450, transferloss: 0.67603, classifier_loss: 0.19958, mean entropy:0.84706, gvbg:0.00723, gvbd:0.07069
iter: 01460, transferloss: 0.68334, classifier_loss: 0.13132, mean entropy:0.87441, gvbg:0.00751, gvbd:0.07452
iter: 01470, transferloss: 0.68716, classifier_loss: 0.20459, mean entropy:0.87520, gvbg:0.00578, gvbd:0.07508
iter: 01480, transferloss: 0.70047, classifier_loss: 0.13871, mean entropy:0.86914, gvbg:0.00701, gvbd:0.06812
iter: 01490, transferloss: 0.65467, classifier_loss: 0.13155, mean entropy:0.87925, gvbg:0.00734, gvbd:0.05626
iter: 01500, transferloss: 0.66611, classifier_loss: 0.14310, mean entropy:0.86556, gvbg:0.00605, gvbd:0.07759
iter: 01510, transferloss: 0.66326, classifier_loss: 0.15697, mean entropy:0.90566, gvbg:0.00626, gvbd:0.07593
iter: 01520, transferloss: 0.67547, classifier_loss: 0.21454, mean entropy:0.88654, gvbg:0.00965, gvbd:0.07873
iter: 01530, transferloss: 0.68526, classifier_loss: 0.19080, mean entropy:0.86830, gvbg:0.00616, gvbd:0.07280
iter: 01540, transferloss: 0.70040, classifier_loss: 0.12611, mean entropy:0.87619, gvbg:0.00758, gvbd:0.07399
iter: 01550, transferloss: 0.67885, classifier_loss: 0.18047, mean entropy:0.88229, gvbg:0.00772, gvbd:0.07181
iter: 01560, transferloss: 0.69010, classifier_loss: 0.14237, mean entropy:0.89686, gvbg:0.00679, gvbd:0.08877
iter: 01570, transferloss: 0.69352, classifier_loss: 0.11854, mean entropy:0.89276, gvbg:0.00658, gvbd:0.07327
iter: 01580, transferloss: 0.68027, classifier_loss: 0.12112, mean entropy:0.86801, gvbg:0.00627, gvbd:0.07463
iter: 01590, transferloss: 0.68181, classifier_loss: 0.12898, mean entropy:0.89326, gvbg:0.00830, gvbd:0.07267
iter: 01600, transferloss: 0.67672, classifier_loss: 0.19316, mean entropy:0.87780, gvbg:0.00575, gvbd:0.07274
iter: 01610, transferloss: 0.68913, classifier_loss: 0.10072, mean entropy:0.89438, gvbg:0.00510, gvbd:0.07677
iter: 01620, transferloss: 0.68617, classifier_loss: 0.19082, mean entropy:0.90094, gvbg:0.00769, gvbd:0.06429
iter: 01630, transferloss: 0.70229, classifier_loss: 0.18216, mean entropy:0.88081, gvbg:0.00864, gvbd:0.07845
iter: 01640, transferloss: 0.67386, classifier_loss: 0.18409, mean entropy:0.87030, gvbg:0.00600, gvbd:0.07567
iter: 01650, transferloss: 0.65886, classifier_loss: 0.08972, mean entropy:0.89503, gvbg:0.00522, gvbd:0.07013
iter: 01660, transferloss: 0.68744, classifier_loss: 0.19199, mean entropy:0.87681, gvbg:0.00630, gvbd:0.07842
iter: 01670, transferloss: 0.68763, classifier_loss: 0.14774, mean entropy:0.90486, gvbg:0.00767, gvbd:0.06936
iter: 01680, transferloss: 0.69437, classifier_loss: 0.04022, mean entropy:0.90909, gvbg:0.00638, gvbd:0.07765
iter: 01690, transferloss: 0.69392, classifier_loss: 0.11329, mean entropy:0.88804, gvbg:0.00656, gvbd:0.07926
iter: 01700, transferloss: 0.66112, classifier_loss: 0.09707, mean entropy:0.88915, gvbg:0.00564, gvbd:0.08094
iter: 01710, transferloss: 0.66946, classifier_loss: 0.06344, mean entropy:0.90750, gvbg:0.00919, gvbd:0.07356
iter: 01720, transferloss: 0.68547, classifier_loss: 0.09397, mean entropy:0.89023, gvbg:0.00585, gvbd:0.08051
iter: 01730, transferloss: 0.68574, classifier_loss: 0.24234, mean entropy:0.91012, gvbg:0.00570, gvbd:0.07017
iter: 01740, transferloss: 0.66632, classifier_loss: 0.20642, mean entropy:0.87880, gvbg:0.00476, gvbd:0.06982
iter: 01750, transferloss: 0.67542, classifier_loss: 0.07900, mean entropy:0.91045, gvbg:0.00650, gvbd:0.07084
iter: 01760, transferloss: 0.68138, classifier_loss: 0.20328, mean entropy:0.88969, gvbg:0.00545, gvbd:0.07052
iter: 01770, transferloss: 0.66951, classifier_loss: 0.13281, mean entropy:0.91669, gvbg:0.00576, gvbd:0.07078
iter: 01780, transferloss: 0.67596, classifier_loss: 0.10158, mean entropy:0.90074, gvbg:0.00589, gvbd:0.07373
iter: 01790, transferloss: 0.66288, classifier_loss: 0.14011, mean entropy:0.89697, gvbg:0.00431, gvbd:0.06516
iter: 01800, transferloss: 0.68942, classifier_loss: 0.12422, mean entropy:0.89832, gvbg:0.00695, gvbd:0.06503
iter: 01810, transferloss: 0.68725, classifier_loss: 0.08417, mean entropy:0.89479, gvbg:0.00507, gvbd:0.06365
iter: 01820, transferloss: 0.70412, classifier_loss: 0.13385, mean entropy:0.91230, gvbg:0.00541, gvbd:0.07457
iter: 01830, transferloss: 0.67960, classifier_loss: 0.13509, mean entropy:0.90568, gvbg:0.00652, gvbd:0.07552
iter: 01840, transferloss: 0.68861, classifier_loss: 0.14760, mean entropy:0.89406, gvbg:0.00597, gvbd:0.06970
iter: 01850, transferloss: 0.69353, classifier_loss: 0.06995, mean entropy:0.92415, gvbg:0.00548, gvbd:0.06497
iter: 01860, transferloss: 0.69646, classifier_loss: 0.05783, mean entropy:0.92531, gvbg:0.00715, gvbd:0.07277
iter: 01870, transferloss: 0.67859, classifier_loss: 0.08484, mean entropy:0.91943, gvbg:0.00554, gvbd:0.07368
iter: 01880, transferloss: 0.67919, classifier_loss: 0.11028, mean entropy:0.91135, gvbg:0.00453, gvbd:0.06633
iter: 01890, transferloss: 0.68573, classifier_loss: 0.11076, mean entropy:0.91056, gvbg:0.00332, gvbd:0.06643
iter: 01900, transferloss: 0.69047, classifier_loss: 0.17166, mean entropy:0.89865, gvbg:0.00520, gvbd:0.07012
iter: 01910, transferloss: 0.68446, classifier_loss: 0.07492, mean entropy:0.93251, gvbg:0.00444, gvbd:0.08063
iter: 01920, transferloss: 0.69092, classifier_loss: 0.15048, mean entropy:0.90480, gvbg:0.00543, gvbd:0.06730
iter: 01930, transferloss: 0.68359, classifier_loss: 0.06812, mean entropy:0.92588, gvbg:0.00455, gvbd:0.07039
iter: 01940, transferloss: 0.70212, classifier_loss: 0.09020, mean entropy:0.89047, gvbg:0.00741, gvbd:0.06130
iter: 01950, transferloss: 0.67483, classifier_loss: 0.07567, mean entropy:0.90739, gvbg:0.00638, gvbd:0.06830
iter: 01960, transferloss: 0.68370, classifier_loss: 0.06961, mean entropy:0.91796, gvbg:0.00456, gvbd:0.06984
